"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID","l2_tex_read_transactions"
ms,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,,
33888.228903,0.046847,,,,,,,,,,15.625000,325.715394,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5221,
33888.279686,0.003584,,,,,,,,,,0.015625,4.257475,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5229,
33888.287238,0.175134,,,,,,,,,,64.000000,356.869597,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5233,
33888.466339,0.003648,,,,,,,,,,0.015625,4.182782,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5241,
33888.473091,1.048915,,,,,,,,,,392.000000,364.960459,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5245,
33889.525974,0.003552,,,,,,,,,,0.001953,0.536979,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5253,
33889.533494,0.027968,,,,,,,,,,9.000000,314.254237,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5257,
33889.565398,0.003391,,,,,,,,,,0.001953,0.562474,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5261,
33889.571893,0.028384,,,,,,,,,,9.000000,309.648482,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5265,
33889.604245,0.003456,,,,,,,,,,0.001953,0.551895,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5269,
33889.611637,0.028255,,,,,,,,,,9.000000,311.062201,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5273,
33889.643861,0.003456,,,,,,,,,,0.001953,0.551895,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5281,
33889.650420,0.028352,,,,,,,,,,9.000000,309.997972,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5285,
33889.682740,0.003456,,,,,,,,,,0.001953,0.551895,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5289,
33889.690164,0.028287,,,,,,,,,,9.000000,310.710309,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5293,
33889.722420,0.003423,,,,,,,,,,0.001953,0.557215,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5297,
33889.728979,0.016288,,,,,,,,,,4.500000,269.801771,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5301,
33889.749235,0.003264,,,,,,,,,,0.000977,0.292180,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5305,
33889.756467,0.009824,,,,,,,,,,2.250000,223.663032,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5309,
33889.770259,0.003104,,,,,,,,,,0.000977,0.307240,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5313,
33889.776467,0.010591,,,,,,,,,,2.250000,207.465360,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5317,
